影	picture/image/reflection/shadow	yǐng
民	the people/nationality/citizen	mín
反	wrong side out or up/anti-	fǎn
想	to think/to believe/to suppose/to wish/to want/to miss	xiǎng
关	(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve	guān
和	and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend	hé/hè/huó/huò
会	can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting	huì/kuài
商	commerce/consult	shāng
怎	how	zěn
克	gram/subdue/to restrain/to overcome, subdue	kè
资	resources/capital/to provide/to supply/to support/money/expense	zī
受	to bear/to stand/to endure/(passive marker)/to receive	shòu
人	man/person/people	rén
便	ordinary/plain/convenient/handy/easy/then/so/thus/to relieve oneself, advantageous/cheap	biàn/pián
期	a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope	qī
走	to walk/to go/to move	zǒu
从	lax/yielding/unhurried, from/obey/observe/follow, second cousin	cōng/cóng/zòng
先	early/prior/former/in advance/first	xiān
安	content/calm/still/quiet/to pacify/peace	ān
办	to do/to manage/to handle/to go about/to run/to set up/to deal with	bàn
上	on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up	shàng
数	to count, number/figure/to count/to calculate/several, frequently/repeatedly	shǔ/shù/shuò
决	breach (a dyke)/to decide/to determine	jué
指	finger/to point/to direct/to indicate	zhǐ
呢	(question particle), woolen material	ne/ní
多	many/much/a lot of/numerous/multi-	duō
近	near/close (to)/approximately	jìn
再	again/once more/re-/second/another	zài
华	(abbreviation for) China/(surname) Hua/magnificent/splendid/flowery, (surname)/name of a mountain	huá/huà
程	rule/order/regulations/formula/journey/procedure/sequence/a surname	chéng
北	north	běi
身	body/torso/person/life/status/pregnancy/(a measure word used for clothes) suit	shēn
全	all/whole/entire/every/complete	quán
步	a step/a pace/walk/march/stages in a process	bù
们	(plural marker for pronouns and a few animate nouns)	men
分	to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part	fēn/fèn
完	to finish/to be over/whole/complete/entire	wán
高	high/tall	gāo
科	branch of study/administrative section/division/field/branch/stage directions/family (taxonomy)/rules/laws/to mete out (punishment)/to levy (taxes, etc.)/to fine somebody	kē
神	God/unusual/mysterious/soul/spirit/divine essence/lively/spiritual being	shén
军	army/military/arms	jūn
体	body/form/style/system	tǐ
因	cause/reason/because	yīn
类	kind/type/class/category/similar/like/to resemble	lèi
听	listen/hear/obey, let/allow	tīng/tìng
而	and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)	ér
论	the Analects (of Confucius), by the/per/discuss/theory/to talk (about)/to discuss	lún/lùn
击	to hit/to strike/to break	jī
样	manner/pattern/way/appearance/shape	yàng
月	moon/month	yuè
元	(dynasty)/dollar/primary/first	yuán
我	I/me/myself	wǒ
金	metal/money/gold	jīn
未	1-3 p.m./8th earthly branch/not yet/did not/have not/not	wèi
通	go through/know well/to connect/to communicate/open	tōng
命	life/fate	mìng
后	empress/queen/surname, back/behind/rear/afterwards/after/later	hòu
者	-ist, -er (person)/person (who does sth)	zhě
准	to allow/to grant/to permit/accurate/standard, accurate/standard	zhǔn
生	to be born/to give birth/life/to grow	shēng
与	(interrog. part.), and/to give/together with, take part in	yú/yǔ/yù
结	knot/sturdy/to bear (fruit)/bond/to tie/to bind	jiē/jié
同	like/same/similar/together/alike/with	tóng
识	to know/knowledge, to record/write a footnote	shí/zhì
为	act as/take...to be/to be/to do/to serve as/to become, because of/for/to	wéi/wèi
场	a courtyard/open space/place/field/a measure word/(a measure word, used for sport or recreation)	chǎng
大	big/huge/large/major/great/wide/deep/oldest/eldest, doctor	dà/dài
空	air/sky/empty/in vain, emptied/leisure	kōng/kòng
告	to tell/to inform/to say	gào
事	matter/thing/item/work/affair	shì
些	some/few/several/(a measure word)	xiē
始	begin	shǐ
飞	to fly	fēi
么	(interrog. part.), (interrog. suff.), one on dice/small	ma/me/yāo
道	direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk	dào
它	it	tā
极	extremely/pole (geography, physics)/utmost/top	jí
子	11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)	zǐ/zi
知	to know/to be aware	zhī
己	6th heavenly stem/self	jǐ
几	small table, almost, a few/how many, how much/how many/several/a few	jī/jǐ
建	to establish/to found/to set up/to build/to construct	jiàn
目	eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title	mù
党	party, party/association/club/society	dǎng
果	fruit/result	guǒ
清	clear/distinct/complete/pure	qīng
争	struggle/fight	zhēng
思	to think/to consider	sī
万	Wan (surname)/ten thousand/a great number	wàn
制	system/to make/to manufacture/to control/to regulate, manufacture	zhì
美	America/beautiful	měi
色	color/look/appearance, color/dice	sè/shǎi
团	regiment/round/circular/group/society, dumpling	tuán
重	to double/to repeat/repetition/iteration/again/a layer, heavy/serious	chóng/zhòng
非	non-/not-/un-	fēi
里	inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown	lǐ
级	level/grade/rank/step	jí
此	this/these	cǐ
往	to go (in a direction)/past/previous/towards, toward/(of a train) bound for	wǎng/wàng
尔	thus/so/like that/you/thou	ěr
给	to/for/for the benefit of/to give/to allow/to do sth (for sb)/(passive particle), to supply/provide	gěi/jǐ
则	(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle	zé
定	to set/to fix/to determine/to decide/to order	dìng
也	also/too	yě
部	ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)	bù
许	to allow/to permit/to praise/(surname)	xǔ
相	each other/one another/mutually, appearance/portrait/picture	xiāng/xiàng
点	(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)	diǎn
口	mouth/(a measure word)	kǒu
少	few/little/lack, young	shǎo/shào
本	roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)	běn
见	to see/to meet/to appear (to be sth)/to interview, appear	jiàn/xiàn
台	surname/(classical) you (in letters)/platform/Taiwan (abbr.), desk/platform, (measure word)/platform/stage/terrace/stand/support/desk/station/broadcasting station, typhoon	tái
前	before/in front/ago/former/previous/earlier/front	qián
东	east	dōng
合	one-tenth of a peck, Chinese musical note/fit/to join	gě/hé
那	how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)	nǎ/nà/nèi
统	to gather/to unite/to unify/whole	tǒng
对	couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right	duì
来	to come	lái
经	classics/sacred book/pass through/to undergo/scripture	jīng
下	under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter	xià
连	(surname)/even/as/join/to link/successively	lián
让	to ask/to let/permit/have (someone do something)/to yield/to allow	ràng
间	between/among/space/(measure word), interstice/separate	jiān/jiàn
内	inside/inner/internal/within/interior	nèi
